,LocationId,CustomerId
0,1,80
1,2,105
2,3,107
3,4,87
4,5,30
5,6,56
6,7,30
7,8,1
8,9,60
9,10,1
10,11,105
11,12,42
12,13,55
13,14,1
14,15,194
15,16,30
16,17,210
17,18,30
18,19,19
19,20,84
20,21,30
21,22,80
22,23,55
23,24,30
24,25,31
25,26,30
26,27,56
27,28,56
28,29,105
29,30,105
30,31,30
31,32,43
32,33,30
33,34,30
34,35,2
35,36,14
36,37,30
37,38,1
38,39,1
39,40,1
40,41,55
41,42,108
42,43,33
43,44,1
44,45,55
45,46,1
46,47,92
47,48,1
48,49,30
49,50,2
50,51,85
51,52,30
52,53,102
53,54,93
54,55,30
55,56,13
56,57,104
57,58,79
58,59,11
59,60,182
60,61,1
61,62,132
62,63,56
63,64,55
64,65,2
65,66,16
66,67,210
67,68,96
68,69,16
69,70,104
70,71,93
71,72,29
72,73,79
73,74,2
74,75,96
75,76,1
76,77,27
77,78,56
78,79,17
79,80,92
80,81,100
81,82,94
82,83,55
83,84,30
84,85,30
85,86,99
86,87,1
87,88,106
88,89,18
89,90,188
90,91,60
91,92,30
92,93,30
93,94,30
94,95,30
95,96,88
96,97,43
97,98,55
98,99,15
99,100,13
100,101,1
101,102,1
102,103,106
103,104,93
104,105,56
105,106,198
106,107,95
107,108,55
108,109,18
109,110,90
110,111,22
111,112,29
112,113,56
113,114,84
114,115,87
115,116,1
116,117,94
117,118,56
118,119,31
119,120,30
120,121,30
121,122,103
122,123,30
123,124,30
124,125,30
125,126,55
126,127,105
127,128,30
128,129,13
129,130,1
130,131,30
131,132,30
132,133,212
133,134,47
134,135,56
135,136,87
136,137,56
137,138,92
138,139,1
139,140,106
140,141,56
141,142,14
142,143,30
143,144,35
144,145,96
145,146,1
146,147,1
147,148,106
148,149,30
149,150,100
150,151,206
151,152,89
152,153,75
153,154,56
154,155,1
155,156,1
156,157,1
157,158,30
158,159,30
159,160,55
160,161,1
161,162,95
162,163,79
163,164,31
164,165,99
165,166,96
166,167,30
167,168,7
168,169,1
169,170,106
170,171,55
171,172,30
172,173,30
173,174,1
174,175,2
175,176,30
176,177,92
177,178,56
178,179,79
179,180,13
180,181,1
181,182,56
182,183,30
183,184,79
184,185,13
185,186,82
186,187,79
187,188,55
188,189,57
189,190,91
190,191,29
191,192,30
192,193,30
193,194,30
194,195,80
195,196,87
196,197,21
197,198,88
198,199,30
199,200,56
200,201,30
201,202,1
202,203,200
203,204,1
204,205,91
205,206,25
206,207,30
207,208,79
208,209,55
209,210,212
210,211,104
211,212,30
212,213,27
213,214,42
214,215,30
215,216,101
216,217,90
217,218,55
218,219,87
219,220,26
220,221,80
221,222,56
222,223,30
223,224,87
224,225,30
225,226,30
226,227,1
227,228,31
228,229,79
229,230,60
230,231,94
231,232,30
232,233,80
233,234,106
234,235,102
235,236,168
236,237,30
237,238,1
238,239,1
239,240,95
240,241,56
241,242,22
242,243,45
243,244,90
244,245,80
245,246,89
246,247,90
247,248,106
248,249,92
249,250,55
250,251,45
251,252,30
252,253,30
253,254,31
254,255,31
255,256,105
256,257,55
257,258,188
258,259,30
259,260,92
260,261,11
261,262,5
262,263,17
263,264,90
264,265,1
265,266,1
266,267,90
267,268,57
268,269,2
269,270,17
270,271,97
271,272,30
272,273,1
273,274,97
274,275,94
275,276,80
276,277,94
277,278,1
278,279,30
279,280,14
280,281,1
281,282,85
282,283,3
283,284,91
284,285,79
285,286,30
286,287,31
287,288,1
288,289,91
289,290,30
290,291,30
291,292,30
292,293,1
293,294,105
294,295,90
295,296,31
296,297,30
297,298,79
298,299,55
299,300,30
300,301,68
301,302,37
302,303,92
303,304,97
304,305,105
305,306,106
306,307,30
307,308,56
308,309,110
309,310,80
310,311,30
311,312,99
312,313,30
313,314,90
314,315,55
315,316,1
316,317,17
317,318,1
318,319,1
319,320,105
320,321,105
321,322,95
322,323,79
323,324,92
324,325,30
325,326,104
326,327,55
327,328,80
328,329,40
329,330,30
330,331,43
331,332,105
332,333,55
333,334,192
334,335,42
335,336,55
